x,Bini
2.09477,442.507
2.12262,461.811
2.13579,427.325
2.20548,478.344
2.2456,410.748
2.35711,493.481
2.38283,388.648
2.46497,363.801
2.54704,334.817
2.58747,285.152
2.58778,303.083
2.60501,504.459
2.94919,512.655
3.26577,516.721
3.54102,518.037
3.91258,517.951
4.36671,517.847
4.73826,517.761
4.83554,572.911
4.91806,570.134
4.99973,517.701
5.05563,567.344
5.19244,520.416
5.24817,560.403
5.34391,525.898
5.38567,553.475
5.45414,534.148
5.46805,542.421


