x,Bini
5.1257,640.431
5.12586,650.086
5.19429,628.001
5.23617,662.474
5.33169,615.556
5.40145,670.712
5.5654,601.709
5.62172,676.179
5.84198,680.266
5.86793,589.226
6.12921,578.131
6.21361,684.319
6.4318,568.406
6.54393,687.001
6.7344,560.061
6.98197,551.728
6.98429,686.9


