x,Bini
3.30924,643.607
3.32326,658.776
3.39157,629.795
3.4473,669.782
3.51521,617.353
3.59882,678.023
3.7641,686.261
3.7902,603.497
3.99821,695.862
4.079,592.396
4.31486,704.066
4.35408,584.057
4.57645,710.902
4.62919,577.097
4.83554,572.911
4.89306,716.346
5.30602,723.148
5.77398,727.178
6.29698,731.196
6.93005,733.809
