x,Bini
4.45127,633.689
4.47841,611.614
4.56072,596.423
4.56169,652.974
4.71188,583.974
4.75461,668.102
4.83554,572.911
5.04379,679.07
5.34668,687.277
5.7046,694.091
5.99364,696.783
6.58545,700.785
6.98453,700.693


